,Age,Fee,Year
170,25,150000.0,1994
227,26,1000000.0,1994
228,25,150000.0,1994
247,23,8250000.0,1994
253,29,2750000.0,1994
331,22,700000.0,1995
407,22,1500000.0,1995
422,25,1200000.0,1995
484,28,6900000.0,1995
485,28,2850000.0,1995
528,27,2000000.0,1995
537,31,50000.0,1995
551,28,2600000.0,1995
622,24,1380000.0,1996
639,24,2300000.0,1996
640,24,2000000.0,1996
691,23,9600000.0,1996
704,23,2500000.0,1996
715,24,1000000.0,1996
730,24,6500000.0,1996
731,24,3500000.0,1996
732,26,1860000.0,1996
733,29,230000.0,1996
744,24,1000000.0,1996
745,26,600000.0,1996
753,28,3450000.0,1996
754,27,2000000.0,1996
762,23,700000.0,1996
789,28,6000000.0,1996
790,24,1000000.0,1996
791,17,760000.0,1996
848,30,4600000.0,1996
849,26,3600000.0,1996
855,22,700000.0,1996
865,27,6000000.0,1996
866,22,1800000.0,1996
877,24,2000000.0,1996
878,28,1000000.0,1996
879,34,300000.0,1996
880,17,150000.0,1996
888,25,3300000.0,1996
901,27,6000000.0,1996
908,29,2600000.0,1996
916,28,4500000.0,1997
917,28,950000.0,1997
926,22,3800000.0,1997
943,26,1580000.0,1997
960,21,7500000.0,1997
961,23,7000000.0,1997
978,26,600000.0,1997
995,25,300000.0,1997
1016,24,375000.0,1997
1074,25,2000000.0,1997
1085,23,5400000.0,1997
1086,29,1800000.0,1997
1099,23,12000000.0,1997
1100,25,2500000.0,1997
1138,23,7000000.0,1997
1139,25,2000000.0,1997
1140,26,1580000.0,1997
1141,28,1000000.0,1997
1148,27,8500000.0,1997
1149,28,4000000.0,1997
1150,30,2100000.0,1997
1194,17,760000.0,1997
1200,28,4300000.0,1997
1201,23,3000000.0,1997
1202,26,400000.0,1997
1211,23,1200000.0,1997
1225,28,900000.0,1997
1226,26,225000.0,1997
1227,29,100000.0,1997
1243,28,7400000.0,1997
1244,25,5500000.0,1997
1245,31,2500000.0,1997
1246,25,2500000.0,1997
1257,20,1000000.0,1997
1258,24,750000.0,1997
1274,21,7500000.0,1997
1275,27,4960000.0,1997
1285,26,26250000.0,1997
1286,26,3750000.0,1997
1287,26,3750000.0,1997
1309,23,6000000.0,1998
1310,26,3500000.0,1998
1311,25,45000.0,1998
1355,29,500000.0,1998
1371,21,6750000.0,1998
1372,23,3300000.0,1998
1383,19,3800000.0,1998
1384,20,3800000.0,1998
1385,26,3500000.0,1998
1386,23,1800000.0,1998
1392,23,6000000.0,1998
1393,26,5000000.0,1998
1425,24,7500000.0,1998
1435,23,3300000.0,1998
1440,23,3000000.0,1998
1450,23,2000000.0,1998
1451,28,120000.0,1998
1463,24,3600000.0,1998
1478,24,12400000.0,1998
1479,26,6000000.0,1998
1480,21,2000000.0,1998
1481,22,1200000.0,1998
1482,27,540000.0,1998
1495,24,6000000.0,1998
1496,20,5580000.0,1998
1497,27,3000000.0,1998
1557,26,6500000.0,1998
1558,22,3870000.0,1998
1559,22,400000.0,1998
1579,27,4000000.0,1998
1580,26,1500000.0,1998
1581,27,600000.0,1998
1592,21,6000000.0,1998
1593,29,500000.0,1998
1601,20,7000000.0,1998
1602,21,1550000.0,1998
1615,24,6000000.0,1998
1616,25,1370000.0,1998
1628,25,2400000.0,1998
1642,26,1500000.0,1998
1650,21,12500000.0,1998
1651,30,3750000.0,1998
1658,24,3500000.0,1999
1659,24,3120000.0,1999
1660,24,900000.0,1999
1684,23,3800000.0,1999
1691,24,900000.0,1999
1733,28,19000000.0,1999
1734,26,8000000.0,1999
1738,22,150000.0,1999
1751,19,500000.0,1999
1777,24,6000000.0,1999
1791,20,10600000.0,1999
1792,26,8000000.0,1999
1793,26,6800000.0,1999
1794,29,450000.0,1999
1805,31,450000.0,1999
1813,24,900000.0,1999
1828,26,7050000.0,1999
1829,27,7050000.0,1999
1830,27,6000000.0,1999
1831,17,450000.0,1999
1840,30,3070000.0,1999
1849,27,1400000.0,1999
1850,24,900000.0,1999
1888,30,3070000.0,1999
1898,26,7000000.0,1999
1899,27,6750000.0,1999
1900,30,1100000.0,1999
1912,23,3800000.0,1999
1929,28,3850000.0,1999
1949,27,375000.0,1999
1963,20,10600000.0,1999
1964,22,6000000.0,1999
1965,20,5000000.0,1999
1966,23,3500000.0,1999
1967,29,3000000.0,1999
1968,17,2000000.0,1999
1969,31,1600000.0,1999
1981,27,7000000.0,1999
1982,27,6000000.0,1999
1983,33,6000000.0,1999
1984,26,3900000.0,1999
1985,31,275000.0,1999
2003,23,8000000.0,1999
2004,20,4500000.0,1999
2005,30,1100000.0,1999
2008,26,6000000.0,1999
2009,31,750000.0,1999
2017,24,4700000.0,2000
2018,27,850000.0,2000
2026,17,200000.0,2000
2039,23,1220000.0,2000
2055,27,350000.0,2000
2079,27,2800000.0,2000
2080,31,250000.0,2000
2092,23,11000000.0,2000
2093,25,9000000.0,2000
2094,23,8000000.0,2000
2101,22,5630000.0,2000
2113,27,5000000.0,2000
2119,25,3600000.0,2000
2120,22,210000.0,2000
2145,27,6000000.0,2000
2146,25,3600000.0,2000
2147,27,1800000.0,2000
2153,25,10500000.0,2000
2154,26,6300000.0,2000
2155,22,4500000.0,2000
2156,28,4000000.0,2000
2157,21,700000.0,2000
2171,35,5300000.0,2000
2172,21,2700000.0,2000
2180,26,1500000.0,2000
2181,27,1200000.0,2000
2182,26,500000.0,2000
2193,27,9100000.0,2000
2194,31,3500000.0,2000
2195,25,3000000.0,2000
2196,27,460000.0,2000
2201,26,17500000.0,2000
2202,26,7600000.0,2000
2203,31,342000.0,2000
2216,26,1500000.0,2000
2227,21,34500000.0,2000
2228,21,10750000.0,2000
2229,27,6000000.0,2000
2230,22,5340000.0,2000
2231,28,3000000.0,2000
2232,18,2700000.0,2000
2240,23,585000.0,2000
2264,22,750000.0,2000
2265,21,750000.0,2000
2292,21,3150000.0,2000
2293,25,700000.0,2000
2310,27,2800000.0,2000
2314,26,4500000.0,2000
2315,27,1100000.0,2000
2316,20,500000.0,2000
2327,21,21300000.0,2000
2328,19,7000000.0,2000
2329,25,6500000.0,2000
2330,27,1200000.0,2000
2331,23,585000.0,2000
2332,16,305000.0,2000
2340,23,20000000.0,2000
2353,29,6860000.0,2000
2354,23,6100000.0,2000
2355,22,5000000.0,2000
2356,29,950000.0,2000
2357,19,600000.0,2000
2358,26,300000.0,2000
2369,21,10750000.0,2000
2370,26,10500000.0,2000
2371,26,9800000.0,2000
2390,23,20000000.0,2000
2391,26,10500000.0,2000
2393,23,1100000.0,2000
2403,22,23240000.0,2000
2404,29,11700000.0,2000
2405,28,7850000.0,2000
2406,23,7700000.0,2000
2416,28,12000000.0,2001
2417,22,8800000.0,2001
2418,26,7500000.0,2001
2419,25,6200000.0,2001
2420,27,17600000.0,2001
2421,21,6600000.0,2001
2422,28,4300000.0,2001
2423,27,280000.0,2001
2429,20,5340000.0,2001
2430,28,4300000.0,2001
2431,23,1800000.0,2001
2432,23,750000.0,2001
2439,24,1500000.0,2001
2457,28,2000000.0,2001
2471,21,9500000.0,2001
2472,21,5000000.0,2001
2473,23,3500000.0,2001
2474,26,1000000.0,2001
2486,26,14330000.0,2001
2488,26,950000.0,2001
2508,21,1800000.0,2001
2524,22,7000000.0,2001
2525,18,5000000.0,2001
2526,23,2280000.0,2001
2532,29,6000000.0,2001
2533,28,5250000.0,2001
2534,29,5200000.0,2001
2535,26,4190000.0000000005,2001
2536,32,2000000.0,2001
2559,23,4500000.0,2001
2560,24,65000.0,2001
2582,22,7000000.0,2001
2592,23,11500000.0,2001
2593,24,5000000.0,2001
2594,23,4000000.0,2001
2595,29,2500000.0,2001
2596,33,1800000.0,2001
2597,24,1500000.0,2001
2618,23,9300000.0,2001
2619,23,9000000.0,2001
2620,30,750000.0,2001
2652,29,5200000.0,2001
2653,25,3800000.0,2001
2658,28,12000000.0,2001
2659,24,3000000.0,2001
2668,30,370000.0,2001
2681,26,7500000.0,2001
2682,28,2000000.0,2001
2697,22,10820000.0,2001
2698,22,3800000.0,2001
2699,24,3000000.0,2001
2700,22,3000000.0,2001
2705,20,5340000.0,2001
2706,22,1650000.0,2001
2723,22,3800000.0,2001
2724,22,3000000.0,2001
2752,23,9000000.0,2001
2753,27,8500000.0,2001
2754,28,6710000.0,2001
2755,23,4500000.0,2001
2765,22,17000000.0,2001
2766,26,9750000.0,2001
2767,20,6360000.0,2001
2768,22,4200000.0,2001
2782,23,100000.0,2001
2796,37,6500000.0,2001
2816,27,700000.0,2001
2834,27,1950000.0,2001
2843,21,3900000.0,2002
2846,21,4099999.9999999995,2002
2847,25,2000000.0,2002
2850,29,9810000.0,2002
2851,22,300000.0,2002
2861,19,3000000.0,2002
2862,26,3000000.0,2002
2863,21,2000000.0,2002
2866,30,4800000.0,2002
2867,30,3730000.0,2002
2869,29,1000000.0,2002
2888,26,9000000.0,2002
2892,27,4500000.0,2002
2926,21,1000000.0,2002
2962,27,3500000.0,2002
2963,22,2000000.0,2002
