,Age,Fee,Year
0,28,3700000.0,1994
1,21,900000.0,1994
2,25,850000.0,1994
3,30,800000.0,1994
4,26,600000.0,1994
5,24,600000.0,1994
7,25,2300000.0,1994
8,28,600000.0,1994
9,26,450000.0,1994
10,34,50000.0,1994
18,29,600000.0,1994
19,28,450000.0,1994
20,26,350000.0,1994
21,31,250000.0,1994
22,28,225000.0,1994
23,31,160000.0,1994
24,26,150000.0,1994
25,21,20000.0,1994
32,28,1400000.0,1994
33,29,675000.0,1994
34,24,250000.0,1994
42,23,500000.0,1994
43,26,450000.0,1994
44,24,150000.0,1994
47,26,320000.0,1994
48,27,150000.0,1994
55,20,800000.0,1994
56,32,750000.0,1994
57,25,700000.0,1994
59,25,1150000.0,1994
60,32,250000.0,1994
65,25,750000.0,1994
66,30,400000.0,1994
67,22,250000.0,1994
78,21,1600000.0,1994
79,24,1000000.0,1994
80,28,1000000.0,1994
81,22,600000.0,1994
86,33,900000.0,1994
87,25,850000.0,1994
88,30,400000.0,1994
89,22,250000.0,1994
95,30,750000.0,1994
96,26,500000.0,1994
97,26,500000.0,1994
98,25,400000.0,1994
99,26,320000.0,1994
100,24,250000.0,1994
101,28,250000.0,1994
102,26,240000.0,1994
103,27,125000.0,1994
105,20,25000.0,1994
121,26,325000.0,1994
122,24,50000.0,1994
125,24,100000.0,1994
133,23,850000.0,1994
134,28,600000.0,1994
135,28,500000.0,1994
136,28,500000.0,1994
137,27,400000.0,1994
138,34,250000.0,1994
139,22,100000.0,1994
144,23,1750000.0,1994
145,24,600000.0,1994
155,28,1400000.0,1994
156,29,675000.0,1994
157,25,600000.0,1994
158,27,600000.0,1994
159,22,230000.0,1994
160,26,200000.0,1994
161,30,800000.0,1994
162,30,750000.0,1994
163,28,500000.0,1994
170,25,900000.0,1994
171,29,610000.0,1994
172,28,600000.0,1994
173,29,400000.0,1994
180,25,500000.0,1994
181,26,350000.0,1994
182,32,350000.0,1994
183,31,250000.0,1994
184,28,225000.0,1994
185,25,185000.0,1994
186,29,100000.0,1994
187,24,100000.0,1994
195,28,1250000.0,1994
211,30,2750000.0,1994
212,25,2300000.0,1994
213,26,1400000.0,1994
215,26,2250000.0,1994
216,30,1750000.0,1994
217,28,1250000.0,1994
218,28,1250000.0,1994
219,21,750000.0,1994
220,30,400000.0,1994
221,20,25000.0,1994
225,28,1750000.0,1994
226,25,1150000.0,1994
227,32,500000.0,1994
234,26,45000.0,1994
243,24,75000.0,1994
246,26,4600000.0,1994
247,31,1250000.0,1994
248,29,600000.0,1994
249,25,475000.0,1994
253,24,1000000.0,1994
254,32,750000.0,1994
255,29,350000.0,1994
256,24,150000.0,1994
257,35,125000.0,1994
261,21,750000.0,1994
262,30,500000.0,1994
263,34,250000.0,1994
264,20,108000.0,1994
265,19,99000.0,1994
