,Age,Fee,Year
0,23,1000000.0,1994
1,28,341000.0,1994
2,23,909000.0,1994
26,21,750000.0,1994
37,24,750000.0,1994
43,26,334000.0,1994
44,24,200000.0,1994
80,24,227000.0,1994
108,25,1700000.0,1994
131,17,5480000.0,1994
132,20,3000000.0,1994
133,27,2500000.0,1994
140,26,2900000.0,1994
141,28,450000.0,1994
168,24,750000.0,1994
169,27,440000.0,1994
184,27,318000.0,1994
192,27,440000.0,1994
198,23,1000000.0,1994
204,28,450000.0,1994
205,24,200000.0,1994
215,27,318000.0,1994
216,32,182000.0,1994
230,29,127000.0,1994
245,24,227000.0,1994
254,22,2250000.0,1995
255,25,1200000.0,1995
260,19,3620000.0,1995
261,21,1080000.0,1995
271,24,3700000.0,1995
272,32,2000000.0,1995
273,28,1800000.0,1995
274,23,908000.0,1995
301,25,360000.0,1995
342,28,227000.0,1995
367,24,136000.0,1995
386,28,2270000.0,1995
387,23,1500000.0,1995
391,22,2250000.0,1995
402,25,125000.0,1995
419,24,3700000.0,1995
420,24,650000.0,1995
436,28,725000.0,1995
507,23,1500000.0,1995
508,23,908000.0,1995
515,23,4810000.0,1996
520,25,10000000.0,1996
521,20,3930000.0,1996
529,23,340000.0,1996
620,19,360000.0,1996
649,22,500000.0,1996
683,23,5000000.0,1996
684,23,1830000.0,1996
694,19,15000000.0,1996
733,31,1750000.0,1996
734,24,250000.0,1996
752,20,900000.0,1996
753,19,360000.0,1996
765,31,700000.0,1996
770,21,900000.0,1996
780,22,500000.0,1996
804,20,900000.0,1996
805,21,900000.0,1996
806,23,875000.0,1996
835,27,1400000.0,1996
864,33,7500000.0,1997
865,19,4500000.0,1997
866,22,2300000.0,1997
867,23,2250000.0,1997
868,24,1600000.0,1997
869,21,1300000.0,1997
870,31,1130000.0,1997
875,24,7500000.0,1997
876,24,3010000.0,1997
891,23,5400000.0,1997
892,26,2700000.0,1997
893,20,1000000.0,1997
894,27,500000.0,1997
902,30,3350000.0,1997
903,26,2400000.0,1997
904,25,740000.0,1997
905,23,600000.0,1997
906,22,350000.0,1997
907,27,227000.0,1997
921,28,900000.0,1997
954,21,1580000.0,1997
971,20,3900000.0,1997
972,21,1300000.0,1997
983,22,500000.0,1997
1003,24,500000.0,1997
1039,26,2400000.0,1997
1040,25,1500000.0,1997
1041,23,450000.0,1997
1042,22,300000.0,1997
1047,24,1000000.0,1997
1083,23,2250000.0,1997
1084,31,1100000.0,1997
1085,23,450000.0,1997
1112,27,500000.0,1997
1133,27,2800000.0,1997
1134,23,600000.0,1997
1144,22,1600000.0,1997
1156,22,6000000.0,1997
1157,24,6000000.0,1997
1193,26,2700000.0,1997
1201,24,8000000.0,1998
1202,25,3000000.0,1998
1205,28,7500000.0,1998
1206,28,7500000.0,1998
1251,21,3200000.0,1998
1257,23,7500000.0,1998
1258,22,1200000.0,1998
1291,28,300000.0,1998
1304,29,1070000.0,1998
1305,29,1070000.0,1998
1311,22,7000000.0,1998
1312,22,11000.0,1998
1326,21,380000.0,1998
1345,29,1200000.0,1998
1346,28,182000.0,1998
1356,29,150000.0,1998
1372,22,7000000.0,1998
1373,18,5000000.0,1998
1374,27,2700000.0,1998
1375,22,2500000.0,1998
1376,25,1980000.0,1998
