,Age,Fee,Year
7,24,2700000.0,1994
21,23,1750000.0,1994
30,23,4000000.0,1994
54,22,5500000.0,1994
55,25,1000000.0,1994
309,30,2720000.0,1994
342,26,500000.0,1995
357,31,565000.0,1995
381,22,1500000.0,1995
398,22,2500000.0,1995
399,29,2100000.0,1995
400,22,1200000.0,1995
423,19,1000000.0,1995
498,23,480000.0,1995
762,22,4000000.0,1996
763,25,500000.0,1996
774,26,6500000.0,1996
775,25,4000000.0,1996
776,26,1500000.0,1996
799,25,3000000.0,1996
800,26,1600000.0,1996
839,25,4099999.9999999995,1996
840,27,1380000.0,1996
866,25,500000.0,1996
890,22,2500000.0,1996
891,29,350000.0,1996
1181,25,700000.0,1997
1193,28,7500000.0,1997
1194,27,400000.0,1997
1209,19,4000000.0,1997
1210,24,3500000.0,1997
1211,25,2800000.0,1997
1212,29,1400000.0,1997
1213,26,1200000.0,1997
1214,26,200000.0,1997
1228,21,2310000.0,1997
1229,24,1000000.0,1997
1284,21,1000000.0,1997
1285,16,223000.0,1997
1296,25,4800000.0,1997
1297,24,3600000.0,1997
1298,19,2400000.0,1997
1299,23,2400000.0,1997
1344,21,51000.0,1997
1355,25,2780000.0,1997
1484,21,700000.0,1997
1564,26,200000.0,1997
1580,21,8000000.0,1998
1581,27,1130000.0,1998
1589,23,9000000.0,1998
1590,26,900000.0,1998
1591,29,425000.0,1998
1640,27,1130000.0,1998
1641,28,1000000.0,1998
1650,30,4179999.9999999995,1998
1651,27,1500000.0,1998
1652,28,1100000.0,1998
1680,22,2000000.0,1998
1784,22,350000.0,1998
1843,21,8000000.0,1998
1906,22,100000.0,1998
1986,24,1250000.0,1999
1998,19,14000000.0,1999
2018,24,2500000.0,1999
2019,30,1900000.0,1999
2020,24,1700000.0,1999
2028,28,13500000.0,1999
2029,25,3500000.0,1999
2046,25,2400000.0,1999
2047,28,1200000.0,1999
2048,26,600000.0,1999
2049,24,500000.0,1999
2059,28,2500000.0,1999
2060,29,1200000.0,1999
2061,28,1000000.0,1999
2062,28,600000.0,1999
2063,31,500000.0,1999
2200,23,150000.0,1999
2214,21,1200000.0,1999
2234,28,2500000.0,1999
2438,24,700000.0,2000
2448,24,960000.0,2000
2470,27,3000000.0,2000
2471,28,900000.0,2000
2481,26,17050000.0,2000
2502,21,7000000.0,2000
2503,27,2400000.0,2000
2504,25,1500000.0,2000
2519,21,13000000.0,2000
2520,27,6500000.0,2000
2521,26,2500000.0,2000
2522,22,2300000.0,2000
2568,30,6800000.0,2000
2569,22,6520000.0,2000
2570,20,5700000.0,2000
2571,22,4000000.0,2000
2580,23,17000000.0,2000
2581,28,2250000.0,2000
2637,23,1000000.0,2000
2791,21,100000.0,2000
2803,22,4000000.0,2000
2899,27,6200000.0,2001
2900,20,5300000.0,2001
2901,22,3200000.0,2001
2905,24,5000000.0,2001
2906,25,575000.0,2001
2938,27,2850000.0,2001
2958,27,8850000.0,2001
2959,21,3000000.0,2001
2960,26,300000.0,2001
2971,29,3000000.0,2001
2998,21,12910000.0,2001
2999,19,5000000.0,2001
3000,20,2500000.0,2001
3001,24,1500000.0,2001
3002,26,175000.0,2001
3018,23,7500000.0,2001
3019,26,5000000.0,2001
3020,31,2500000.0,2001
3021,23,2280000.0,2001
3022,30,1800000.0,2001
3023,27,1200000.0,2001
3024,27,1000000.0,2001
3093,22,100000.0,2001
3128,25,250000.0,2001
3144,22,3200000.0,2001
3145,20,2500000.0,2001
3146,26,175000.0,2001
3376,19,5000000.0,2001
3393,28,3000000.0,2002
3394,28,2400000.0,2002
3395,23,2000000.0,2002
3396,24,1230000.0,2002
3397,22,1000000.0,2002
3398,27,550000.0,2002
3399,20,525000.0,2002
3400,26,450000.0,2002
3401,26,250000.0,2002
3405,24,13000000.0,2002
3406,25,4800000.0,2002
3435,25,3000000.0,2002
3436,23,1250000.0,2002
3437,25,250000.0,2002
3470,18,2000000.0,2002
3476,19,12750000.0,2002
3491,20,200000.0,2002
3503,24,1000000.0,2002
3504,27,550000.0,2002
3505,26,450000.0,2002
3506,26,250000.0,2002
3519,25,800000.0,2002
3572,18,2000000.0,2002
3614,22,1000000.0,2002
3627,24,1000000.0,2002
3640,25,3000000.0,2002
3727,25,250000.0,2002
3811,23,1250000.0,2002
3870,23,2000000.0,2002
3871,24,1230000.0,2002
3883,25,3500000.0,2003
3884,19,2500000.0,2003
3885,25,1500000.0,2003
3886,20,1000000.0,2003
3894,20,9000000.0,2003
3895,31,1000000.0,2003
3914,22,1000000.0,2003
3938,25,3200000.0,2003
3940,27,1200000.0,2003
3941,27,700000.0,2003
3946,18,19000000.0,2003
3947,19,6350000.0,2003
3948,28,1500000.0,2003
3985,22,134000.0,2003
4108,27,1200000.0,2003
4109,20,1000000.0,2003
4110,27,700000.0,2003
4132,23,900000.0,2003
4273,26,1200000.0,2003
4310,22,500000.0,2003
4326,21,100000.0,2003
4363,20,1500000.0,2004
4364,25,1000000.0,2004
4365,21,750000.0,2004
4369,21,3000000.0,2004
4370,26,1500000.0,2004
4371,26,300000.0,2004
4392,22,1750000.0,2004
4393,28,1400000.0,2004
4394,28,1200000.0,2004
4395,27,600000.0,2004
4396,21,500000.0,2004
4407,23,15000000.0,2004
4408,26,2300000.0,2004
4409,28,1000000.0,2004
4434,23,1800000.0,2004
4435,26,800000.0,2004
4472,16,8000000.0,2004
4473,21,7500000.0,2004
4474,19,7000000.0,2004
4475,20,6000000.0,2004
4476,23,3500000.0,2004
4477,23,3000000.0,2004
4478,20,2500000.0,2004
4479,24,2000000.0,2004
4480,25,2000000.0,2004
4481,21,2000000.0,2004
4482,26,2000000.0,2004
4483,22,2000000.0,2004
4484,21,1800000.0,2004
4485,27,500000.0,2004
4486,23,300000.0,2004
4490,26,30000000.0,2004
4491,26,21000000.0,2004
4492,25,20000000.0,2004
4493,20,10000000.0,2004
4494,29,7500000.0,2004
4495,25,3000000.0,2004
4496,31,1000000.0,2004
4497,26,1000000.0,2004
4500,22,400000.0,2004
4544,24,2000000.0,2004
4545,26,2000000.0,2004
4559,29,120000.0,2004
4616,22,2000000.0,2004
4617,21,2000000.0,2004
4634,22,1500000.0,2004
4635,22,750000.0,2004
4652,18,3500000.0,2004
4653,23,2500000.0,2004
4654,28,2000000.0,2004
4655,28,1400000.0,2004
4681,30,250000.0,2004
4709,25,1000000.0,2004
4710,25,750000.0,2004
4711,27,700000.0,2004
4791,24,540000.0,2004
4792,29,195000.0,2004
4832,21,500000.0,2004
4878,27,55000.0,2004
4895,27,500000.0,2004
4896,29,120000.0,2004
4915,22,1500000.0,2005
4917,27,1000000.0,2005
4918,27,1000000.0,2005
4919,25,500000.0,2005
4920,28,250000.0,2005
4921,29,250000.0,2005
4922,20,150000.0,2005
4931,25,8000000.0,2005
4932,25,1800000.0,2005
4956,24,10250000.0,2005
4957,22,2300000.0,2005
4958,24,1500000.0,2005
4959,27,1500000.0,2005
4960,22,1500000.0,2005
4961,25,1000000.0,2005
4962,28,250000.0,2005
4966,27,16000000.0,2005
4967,24,10000000.0,2005
4968,24,10000000.0,2005
4969,30,4000000.0,2005
4970,20,3500000.0,2005
4971,31,2500000.0,2005
4972,30,2000000.0,2005
4999,25,3500000.0,2005
5000,24,2000000.0,2005
5001,30,1000000.0,2005
5003,25,500000.0,2005
5011,22,6000000.0,2005
5012,29,1000000.0,2005
5043,21,1000000.0,2005
5044,22,500000.0,2005
5060,29,2500000.0,2005
5061,28,2500000.0,2005
5062,24,2000000.0,2005
5063,30,1000000.0,2005
5083,26,700000.0,2005
5084,23,625000.0,2005
5141,22,1500000.0,2005
5142,25,500000.0,2005
5143,28,279000.0,2005
5190,25,1000000.0,2005
5191,25,500000.0,2005
5192,25,500000.0,2005
5235,24,250000.0,2005
5287,27,1000000.0,2005
5288,28,250000.0,2005
5311,26,300000.0,2005
5326,26,300000.0,2005
5377,26,100000.0,2005
5396,27,1500000.0,2005
5413,31,300000.0,2005
5430,24,1400000.0,2005
5431,27,500000.0,2005
5450,27,500000.0,2005
5451,24,400000.0,2005
5507,19,770000.0,2005
5508,22,500000.0,2005
5600,26,3500000.0,2006
5601,24,2500000.0,2006
5602,27,2300000.0,2006
5603,25,1200000.0,2006
5604,25,1000000.0,2006
5609,28,5000000.0,2006
5610,27,3800000.0,2006
5611,26,1500000.0,2006
5613,27,350000.0,2006
5644,21,1500000.0,2006
5645,25,1500000.0,2006
5646,21,1500000.0,2006
5647,27,1200000.0,2006
