,Age,Fee,Year
0,24,350000.0,1994
1,24,338000.0,1994
2,21,245000.0,1994
3,35,88000.0,1994
5,25,2250000.0,1994
6,24,200000.0,1994
11,23,1500000.0,1994
12,22,1380000.0,1994
13,25,580000.0,1994
18,21,7500000.0,1994
19,25,1250000.0,1994
20,27,750000.0,1994
21,25,600000.0,1994
22,30,315000.0,1994
28,31,360000.0,1994
30,26,5000000.0,1994
31,30,139000.0,1994
39,24,2250000.0,1994
40,24,1150000.0,1994
41,30,1000000.0,1994
42,25,57000.0,1994
46,28,3150000.0,1994
47,26,1500000.0,1994
48,23,1450000.0,1994
49,30,900000.0,1994
50,32,400000.0,1994
51,25,375000.0,1994
52,26,318000.0,1994
53,26,240000.0,1994
56,23,1880000.0,1994
57,25,1250000.0,1994
58,29,450000.0,1994
59,28,120000.0,1994
62,29,375000.0,1994
63,22,300000.0,1994
64,28,300000.0,1994
65,30,250000.0,1994
66,32,60000.0,1994
74,24,975000.0,1994
75,23,900000.0,1994
76,27,750000.0,1994
77,23,650000.0,1994
78,35,55000.0,1994
84,28,4099999.9999999995,1994
85,31,1620000.0,1994
92,25,3000000.0,1994
93,26,1650000.0,1994
94,20,900000.0,1994
95,24,600000.0,1994
96,25,550000.0,1994
97,32,380000.0,1994
103,23,5430000.0,1994
104,24,1150000.0,1994
105,30,100000.0,1994
106,35,55000.0,1994
117,23,9600000.0,1994
118,24,2100000.0,1994
119,18,120000.0,1994
121,25,3000000.0,1994
122,19,1500000.0,1994
123,26,700000.0,1994
124,22,317000.0,1994
134,24,890000.0,1994
135,30,452000.0,1994
136,33,359000.0,1994
137,23,46000.0,1994
140,23,570000.0,1994
141,26,251000.0,1994
142,22,150000.0,1994
143,19,40000.0,1994
152,26,5000000.0,1994
153,23,3380000.0,1994
154,19,1500000.0,1994
155,26,800000.0,1994
156,25,200000.0,1994
159,23,9600000.0,1994
160,25,745000.0,1994
161,29,425000.0,1994
162,25,250000.0,1994
169,24,4200000.0,1994
170,24,2500000.0,1994
171,24,240000.0,1994
178,19,3750000.0,1994
179,25,2250000.0,1994
180,25,1000000.0,1994
181,22,180000.0,1994
184,25,3500000.0,1994
185,27,1480000.0,1994
186,22,1150000.0,1994
188,20,1750000.0,1994
196,23,2180000.0,1994
197,31,1620000.0,1994
198,23,1500000.0,1994
199,26,1500000.0,1994
200,24,1450000.0,1994
201,28,300000.0,1994
202,26,240000.0,1994
204,27,2500000.0,1994
205,26,1500000.0,1994
206,22,1400000.0,1994
207,21,1200000.0,1994
208,30,1000000.0,1994
209,29,450000.0,1994
210,32,380000.0,1994
211,33,359000.0,1994
212,21,188000.0,1994
213,22,160000.0,1994
214,23,160000.0,1994
218,28,3150000.0,1994
220,32,400000.0,1994
221,25,375000.0,1994
223,23,1500000.0,1994
224,31,360000.0,1994
231,19,2250000.0,1994
232,26,1700000.0,1994
233,26,1500000.0,1994
234,23,1400000.0,1994
235,27,900000.0,1994
236,22,623000.0,1994
243,23,1000000.0,1994
244,25,550000.0,1994
245,28,440000.0,1994
246,24,187000.0,1994
247,35,88000.0,1994
258,22,2250000.0,1994
263,20,1750000.0,1994
264,23,1450000.0,1994
265,20,50000.0,1994
266,26,38000.0,1994
