,Age,Fee,Year
0,23,1650000.0,1994
1,25,540000.0,1994
2,20,120000.0,1994
6,25,3500000.0,1994
7,22,1200000.0,1994
12,28,30000.0,1994
26,25,600000.0,1994
34,26,1200000.0,1994
35,22,1200000.0,1994
40,24,3000000.0,1994
41,23,1650000.0,1994
42,25,150000.0,1994
56,25,1200000.0,1994
67,32,2100000.0,1994
68,24,2069999.9999999998,1994
69,25,300000.0,1994
70,28,300000.0,1994
77,22,600000.0,1994
78,22,540000.0,1994
79,25,180000.0,1994
80,23,180000.0,1994
88,25,300000.0,1994
89,28,300000.0,1994
99,32,2400000.0,1994
102,23,180000.0,1994
107,24,2400000.0,1994
108,22,900000.0,1994
109,26,900000.0,1994
110,22,600000.0,1994
111,26,240000.0,1994
125,26,1000000.0,1994
126,25,750000.0,1994
129,23,1300000.0,1994
135,24,2700000.0,1994
136,26,2250000.0,1994
137,25,1200000.0,1994
142,24,800000.0,1994
143,29,600000.0,1994
144,26,400000.0,1994
159,26,720000.0,1994
167,28,4200000.0,1994
168,23,1300000.0,1994
169,24,4000000.0,1994
170,25,180000.0,1994
174,30,9600000.0,1994
175,25,3500000.0,1994
176,29,1200000.0,1994
177,23,900000.0,1994
178,25,600000.0,1994
185,24,800000.0,1994
186,29,600000.0,1994
187,26,400000.0,1994
192,24,2700000.0,1994
196,32,180000.0,1994
212,23,900000.0,1994
240,24,2069999.9999999998,1994
250,22,1250000.0,1994
251,25,612000.0,1994
252,22,480000.0,1994
253,24,270000.0,1994
272,24,1500000.0,1994
273,26,720000.0,1994
274,23,150000.0,1994
285,29,4000000.0,1994
286,24,4000000.0,1994
287,24,3000000.0,1994
288,23,900000.0,1994
289,25,150000.0,1994
292,30,9600000.0,1994
293,28,6000000.0,1994
294,28,4200000.0,1994
295,32,2400000.0,1994
296,32,2100000.0,1994
304,25,480000.0,1995
305,20,300000.0,1995
310,28,5500000.0,1995
311,17,3000000.0,1995
357,23,900000.0,1995
358,27,210000.0,1995
362,26,3000000.0,1995
363,26,3000000.0,1995
371,23,500000.0,1995
372,33,450000.0,1995
373,31,150000.0,1995
378,23,3000000.0,1995
388,26,700000.0,1995
389,25,550000.0,1995
413,27,720000.0,1995
414,23,480000.0,1995
429,26,3000000.0,1995
430,25,2000000.0,1995
431,21,720000.0,1995
436,25,3000000.0,1995
448,27,600000.0,1995
458,30,2500000.0,1995
459,24,2280000.0,1995
462,33,450000.0,1995
466,25,1050000.0,1995
467,21,300000.0,1995
474,22,1800000.0,1995
482,22,1800000.0,1995
483,18,1200000.0,1995
484,28,500000.0,1995
485,21,120000.0,1995
490,25,1050000.0,1995
502,26,3000000.0,1995
503,25,1800000.0,1995
507,27,720000.0,1995
508,24,300000.0,1995
515,22,840000.0,1995
522,24,2280000.0,1995
528,17,3000000.0,1995
532,22,6500000.0,1995
533,22,3600000.0,1995
534,28,3000000.0,1995
536,22,3600000.0,1995
537,20,1500000.0,1995
538,23,900000.0,1995
544,22,1200000.0,1995
545,21,1080000.0,1995
546,22,75000.0,1995
550,22,1500000.0,1995
558,21,1200000.0,1995
572,22,900000.0,1995
573,23,240000.0,1995
591,25,480000.0,1995
592,22,75000.0,1995
610,22,3600000.0,1995
611,23,3000000.0,1995
612,26,1440000.0,1995
613,24,1000000.0,1995
616,22,3000000.0,1995
621,22,2520000.0,1995
622,20,1500000.0,1995
623,26,1200000.0,1995
624,24,300000.0,1995
627,22,3600000.0,1995
628,25,2000000.0,1995
629,27,600000.0,1995
634,28,5500000.0,1995
635,26,3000000.0,1995
636,22,3000000.0,1995
637,27,2800000.0,1995
638,22,2500000.0,1995
639,29,11000000.0,1995
640,30,2500000.0,1995
641,32,2000000.0,1995
642,25,2000000.0,1995
643,24,1000000.0,1995
644,26,700000.0,1995
645,23,500000.0,1995
650,29,3000000.0,1996
651,29,1200000.0,1996
652,23,600000.0,1996
658,27,1680000.0,1996
659,22,750000.0,1996
665,28,2100000.0,1996
666,26,900000.0,1996
686,29,1800000.0,1996
705,25,1800000.0,1996
706,27,1380000.0,1996
721,24,1800000.0,1996
722,25,1700000.0,1996
723,21,150000.0,1996
729,34,120000.0,1996
743,22,10200000.0,1996
744,27,6000000.0,1996
745,20,4200000.0,1996
746,27,4200000.0,1996
747,21,3360000.0,1996
748,23,3000000.0,1996
749,30,2500000.0,1996
