,Age,Fee,Year
0,22,5500000.0,1994
26,22,6000000.0,1994
38,27,5170000.0,1994
68,29,600000.0,1994
86,23,909000.0,1994
107,22,400000.0,1994
108,23,100000.0,1994
138,25,6000000.0,1994
146,31,600000.0,1994
165,24,2500000.0,1994
177,25,5500000.0,1994
178,27,5170000.0,1994
179,23,4000000.0,1994
180,18,2000000.0,1994
181,25,465000.0,1994
185,25,5170000.0,1994
186,26,4600000.0,1994
187,22,4500000.0,1994
188,31,1250000.0,1994
189,20,1000000.0,1994
190,26,750000.0,1994
205,24,2750000.0,1994
206,26,750000.0,1994
207,31,600000.0,1994
212,30,2750000.0,1994
213,24,2400000.0,1994
214,21,1600000.0,1994
252,22,6000000.0,1994
253,25,465000.0,1994
281,25,5170000.0,1994
288,28,1750000.0,1994
336,22,4500000.0,1994
337,24,2700000.0,1994
338,19,750000.0,1994
394,29,4000000.0,1994
395,24,2750000.0,1994
420,25,6000000.0,1994
421,28,3700000.0,1994
436,25,6000000.0,1995
437,24,3600000.0,1995
438,36,250000.0,1995
442,28,9300000.0,1995
443,29,2600000.0,1995
444,26,1440000.0,1995
452,22,3200000.0,1995
453,21,250000.0,1995
458,21,6700000.0,1995
459,23,4550000.0,1995
460,28,3000000.0,1995
470,20,1500000.0,1995
520,24,200000.0,1995
541,21,3050000.0,1995
573,19,3620000.0,1995
574,24,200000.0,1995
582,29,7100000.0,1995
583,25,6000000.0,1995
584,25,2000000.0,1995
585,36,250000.0,1995
600,26,1200000.0,1995
619,28,9300000.0,1995
620,28,6900000.0,1995
621,18,1910000.0,1995
622,29,750000.0,1995
640,26,2200000.0,1995
641,25,2000000.0,1995
650,26,3800000.0,1995
677,24,3600000.0,1995
698,27,1150000.0,1995
710,28,375000.0,1995
730,28,6000000.0,1995
742,28,375000.0,1995
759,27,10500000.0,1995
760,19,7500000.0,1995
761,21,6500000.0,1995
762,23,4550000.0,1995
763,22,3500000.0,1995
764,26,1200000.0,1995
773,26,11250000.0,1995
774,22,5000000.0,1995
775,28,2270000.0,1995
776,29,1400000.0,1995
777,29,500000.0,1995
789,22,5000000.0,1995
806,29,11000000.0,1995
807,21,6700000.0,1995
808,21,3050000.0,1995
809,27,130000.0,1995
817,26,7600000.0,1995
818,20,1500000.0,1995
829,19,4000000.0,1996
842,22,3770000.0,1996
859,20,5000000.0,1996
871,26,3100000.0,1996
882,32,350000.0,1996
978,27,7000000.0,1996
995,21,5700000.0,1996
996,22,4390000.0,1996
1008,20,8600000.0,1996
1009,25,750000.0,1996
1024,27,4000000.0,1996
1054,22,750000.0,1996
1096,24,6500000.0,1996
1097,22,3000000.0,1996
1103,20,5350000.0,1996
1104,23,4130000.0,1996
1105,27,2000000.0,1996
1121,26,4500000.0,1996
1122,22,3770000.0,1996
1123,24,3500000.0,1996
1131,27,9780000.0,1996
1132,25,3600000.0,1996
1133,20,1000000.0,1996
1142,27,8000000.0,1996
1143,27,7000000.0,1996
1158,23,1150000.0,1996
1169,27,4000000.0,1996
1181,23,4650000.0,1996
1182,26,3100000.0,1996
1183,22,1300000.0,1996
1189,26,5500000.0,1996
1190,26,4500000.0,1996
1232,21,4130000.0,1996
1233,25,3300000.0,1996
1234,23,1000000.0,1996
1235,25,750000.0,1996
1244,30,6200000.0,1996
1245,26,5500000.0,1996
1246,30,2400000.0,1996
1247,27,100000.0,1996
1260,28,6000000.0,1996
1261,26,6000000.0,1996
1262,22,4500000.0,1996
1263,20,3930000.0,1996
1264,26,3100000.0,1996
1275,23,6000000.0,1996
1276,25,5120000.0,1996
1277,20,5000000.0,1996
1294,23,9600000.0,1996
1295,28,2500000.0,1996
1312,23,10300000.0,1997
1313,24,8000000.0,1997
1314,23,5160000.0,1997
1315,27,4700000.0,1997
1316,22,2800000.0,1997
1317,18,2580000.0,1997
1318,20,750000.0,1997
1322,23,17560000.0,1997
1323,27,4000000.0,1997
1324,28,3500000.0,1997
1325,31,1950000.0,1997
1326,27,1100000.0,1997
1333,26,3870000.0,1997
1348,23,5160000.0,1997
1349,28,3000000.0,1997
1350,27,1030000.0,1997
1351,25,600000.0,1997
1384,22,2000000.0,1997
1396,27,775000.0,1997
1406,27,650000.0,1997
1419,22,4000000.0,1997
1420,29,400000.0,1997
1433,27,12500000.0,1997
1434,32,4000000.0,1997
1435,23,1100000.0,1997
1452,30,1800000.0,1997
1535,22,800000.0,1997
1558,22,2800000.0,1997
1584,23,12000000.0,1997
1585,27,8500000.0,1997
1586,25,5130000.0,1997
1587,23,3500000.0,1997
1588,28,3000000.0,1997
1589,25,1000000.0,1997
1590,18,800000.0,1997
1591,27,650000.0,1997
1592,29,500000.0,1997
1605,24,8000000.0,1997
1606,24,8000000.0,1997
1607,23,5000000.0,1997
1608,23,4130000.0,1997
1609,25,4000000.0,1997
1610,27,3700000.0,1997
1611,30,1800000.0,1997
1612,28,1000000.0,1997
1615,28,500.0,1997
1635,21,7700000.0,1997
1636,25,1500000.0,1997
1641,26,6000000.0,1997
1654,25,4500000.0,1997
1690,23,6500000.0,1997
1691,32,4000000.0,1997
1692,27,4000000.0,1997
1693,25,1200000.0,1997
1694,27,1100000.0,1997
1695,33,1000000.0,1997
1697,20,2580000.0,1997
1698,23,2320000.0,1997
1699,27,775000.0,1997
1700,29,400000.0,1997
1730,23,5000000.0,1997
1731,20,1500000.0,1997
1732,23,1000000.0,1997
1733,22,1000000.0,1997
1734,25,600000.0,1997
1735,25,400000.0,1997
1741,26,4000000.0,1997
1742,24,3500000.0,1997
1755,20,26500000.0,1997
1756,27,7600000.0,1997
1757,20,5600000.0,1997
1758,26,4000000.0,1997
1759,28,4000000.0,1997
1760,21,3600000.0,1997
1761,23,3000000.0,1997
1762,22,2000000.0,1997
1763,26,1500000.0,1997
1764,28,500.0,1997
1767,21,6500000.0,1997
1768,29,6300000.0,1997
1769,27,3300000.0,1997
1770,33,1500000.0,1997
1771,31,1200000.0,1997
1772,29,500000.0,1997
1785,27,7600000.0,1997
1786,24,5000000.0,1997
1787,28,3500000.0,1997
1788,29,3500000.0,1997
1789,27,1550000.0,1997
1790,21,1000000.0,1997
1791,22,200000.0,1997
1801,27,4700000.0,1997
1802,22,4500000.0,1997
1803,32,4000000.0,1997
1804,29,3000000.0,1997
1805,28,2000000.0,1997
1806,26,1500000.0,1997
1807,22,800000.0,1997
1820,26,590000.0,1997
1845,21,12500000.0,1998
1846,26,6500000.0,1998
1847,25,6250000.0,1998
1848,20,3700000.0,1998
1853,28,6200000.0,1998
1919,27,4500000.0,1998
1942,24,8000000.0,1998
1943,20,5000000.0,1998
1944,26,900000.0,1998
1960,23,17500000.0,1998
