,Year,Pos,Fee,Count
2,1994,CB,1510030.303030303,66
3,1994,CF,1690786.3247863248,117
4,1994,CM,1199470.5882352942,34
5,1994,DM,1269393.9393939395,33
7,1994,GK,782666.6666666666,21
8,1994,LB,754029.4117647059,34
9,1994,LM,818687.5,16
10,1994,LW,1633333.3333333333,9
12,1994,RB,1050370.3703703703,27
13,1994,RM,1204846.1538461538,13
14,1994,RW,460000.0,8
19,1995,CB,1163376.6233766233,77
20,1995,CF,2003033.8983050848,118
21,1995,CM,2058055.5555555555,36
22,1995,DM,1815571.4285714286,35
24,1995,GK,476000.0,15
25,1995,LB,1251904.761904762,21
26,1995,LM,1900517.2413793104,29
27,1995,LW,2618714.285714286,21
29,1995,RB,1349363.6363636365,22
30,1995,RM,1938913.043478261,23
31,1995,RW,2662500.0,8
36,1996,CB,1454280.0,75
37,1996,CF,2857687.0229007634,131
38,1996,CM,2389025.641025641,39
39,1996,DM,1749821.4285714286,28
41,1996,GK,1270666.6666666667,39
42,1996,LB,2136913.0434782607,23
43,1996,LM,2681923.076923077,26
44,1996,LW,1803571.4285714286,7
46,1996,RB,995481.4814814815,27
47,1996,RM,2959687.5,16
48,1996,RW,2916833.3333333335,12
53,1997,CB,1998178.5714285714,84
54,1997,CF,3684536.912751678,149
55,1997,CM,2196108.695652174,46
56,1997,DM,2339352.9411764704,51
58,1997,GK,1090000.0,35
59,1997,LB,2485000.0,41
60,1997,LM,3598260.8695652173,23
61,1997,LW,3507062.5,16
63,1997,RB,2083128.2051282052,39
64,1997,RM,2899000.0,25
65,1997,RW,2233285.714285714,14
69,1998,CB,2748890.0,100
70,1998,CF,4189666.6666666665,162
71,1998,CM,3195675.0,40
72,1998,DM,2522272.727272727,55
74,1998,GK,1787923.076923077,26
75,1998,LB,3463666.6666666665,45
76,1998,LM,3356666.6666666665,27
77,1998,LW,7550000.0,8
79,1998,RB,2654230.769230769,39
80,1998,RM,3274000.0,25
81,1998,RW,3304642.8571428573,14
85,1999,CB,2770683.7606837605,117
86,1999,CF,5892264.705882353,170
87,1999,CM,4574090.909090909,44
88,1999,DM,3374227.272727273,44
90,1999,GK,3106066.6666666665,30
91,1999,LB,2212765.9574468085,47
92,1999,LM,1906025.641025641,39
93,1999,LW,4323437.5,16
95,1999,RB,3410343.75,32
96,1999,RM,1770238.0952380951,21
97,1999,RW,3285714.285714286,21
102,2000,CB,3159563.6363636362,110
103,2000,CF,6426715.116279069,172
104,2000,CM,4356333.333333333,45
105,2000,DM,5029347.826086956,92
107,2000,GK,3081222.222222222,45
108,2000,LB,2741081.081081081,37
109,2000,LM,3696481.4814814813,27
110,2000,LW,6518157.894736842,19
112,2000,RB,2690000.0,40
113,2000,RM,2449687.5,16
114,2000,RW,10038150.0,20
117,2001,CB,4599491.071428572,112
118,2001,CF,5636309.677419355,155
119,2001,CM,5915081.967213115,61
120,2001,DM,4052196.9696969697,66
121,2001,GK,6390090.909090909,55
122,2001,LB,2402000.0,43
123,2001,LM,6754862.068965517,29
124,2001,LW,5243913.043478261,23
126,2001,RB,4041022.727272727,44
127,2001,RM,7975400.0,15
128,2001,RW,4811250.0,20
133,2002,CB,5303985.507246377,69
134,2002,CF,5096880.733944954,109
135,2002,CM,4855450.0,40
136,2002,DM,3655614.035087719,57
137,2002,GK,2433571.4285714286,28
138,2002,LB,3258653.846153846,26
139,2002,LM,2618478.2608695654,23
140,2002,LW,4050000.0,10
141,2002,RB,2916333.3333333335,30
142,2002,RM,3523888.888888889,18
143,2002,RW,1998750.0,12
147,2003,CB,1942753.4246575343,73
148,2003,CF,4636507.936507937,126
149,2003,CM,3235000.0,36
150,2003,DM,3640697.6744186045,43
151,2003,GK,2560322.580645161,31
152,2003,LB,2134285.714285714,21
153,2003,LM,1532727.2727272727,22
154,2003,LW,5323047.619047619,21
156,2003,RB,2955892.8571428573,28
157,2003,RM,6929473.684210527,19
158,2003,RW,4980263.157894737,19
162,2004,CB,3860059.2592592593,135
163,2004,CF,4591867.816091954,174
164,2004,CM,4095568.1818181816,44
165,2004,DM,3402407.407407407,81
167,2004,GK,2809821.4285714286,28
168,2004,LB,1647209.3023255814,43
169,2004,LM,2591428.5714285714,14
170,2004,LW,1533076.923076923,13
172,2004,RB,2988392.8571428573,28
173,2004,RM,1539285.7142857143,7
174,2004,RW,4256607.142857143,28
178,2005,CB,2441291.6666666665,120
179,2005,CF,3436419.35483871,186
180,2005,CM,3099657.5342465756,73
181,2005,DM,3598292.6829268294,82
182,2005,GK,1617794.1176470588,34
183,2005,LB,2695104.1666666665,48
184,2005,LM,1080800.0,25
185,2005,LW,4922058.823529412,34
187,2005,RB,2042391.3043478262,46
188,2005,RM,1614285.7142857143,14
189,2005,RW,3931707.3170731706,41
193,2006,CB,2188342.541436464,181
194,2006,CF,3580413.13559322,236
195,2006,CM,2352559.523809524,84
196,2006,DM,4365060.975609756,82
198,2006,GK,1227192.9824561405,57
199,2006,LB,2544126.984126984,63
200,2006,LM,2075370.3703703703,27
201,2006,LW,1803800.0,25
202,2006,RB,2016397.0588235294,68
203,2006,RM,2568666.6666666665,15
204,2006,RW,3486707.3170731706,41
208,2007,CB,2821510.2040816327,245
209,2007,CF,4145241.590214067,327
210,2007,CM,3867825.396825397,126
211,2007,DM,2999486.4864864866,111
212,2007,GK,1774833.3333333333,60
213,2007,LB,2813784.946236559,93
214,2007,LM,1400000.0,25
215,2007,LW,7371415.094339622,53
217,2007,RB,2935189.8734177216,79
218,2007,RM,3221944.4444444445,18
219,2007,RW,4895250.0,60
222,2008,CB,2967566.8016194333,247
223,2008,CF,4195512.0,250
224,2008,CM,3191837.5,120
225,2008,DM,3982632.6530612246,98
226,2008,GK,2285067.5675675673,74
227,2008,LB,2657792.2077922076,77
228,2008,LM,4186625.0,28
229,2008,LW,7638888.888888889,36
230,2008,RB,3910133.3333333335,75
231,2008,RM,4851818.181818182,11
232,2008,RW,3493852.4590163934,61
235,2009,CB,3181034.9344978165,229
236,2009,CF,6344843.31797235,217
237,2009,CM,2913306.722689076,119
238,2009,DM,3576147.619047619,105
239,2009,GK,1922185.4838709678,62
240,2009,LB,1945398.4375,64
241,2009,LM,3987531.25,16
242,2009,LW,2768666.6666666665,30
243,2009,RB,3463679.245283019,53
244,2009,RM,2292941.1764705884,17
245,2009,RW,3892368.4210526315,38
248,2010,CB,3068579.0816326533,196
249,2010,CF,4935046.626984127,252
250,2010,CM,4311982.317073171,82
251,2010,DM,2710516.304347826,92
252,2010,GK,2032104.6511627906,43
253,2010,LB,2890781.25,64
254,2010,LM,2019500.0,10
255,2010,LW,3171863.6363636362,44
256,2010,RB,2179708.3333333335,48
257,2010,RM,522923.07692307694,13
258,2010,RW,3783561.6438356163,73
262,2011,CB,2336510.759493671,237
263,2011,CF,3762344.6428571427,280
264,2011,CM,3795349.3975903615,166
265,2011,DM,2722700.0,115
266,2011,GK,3875006.25,80
267,2011,LB,3696447.3684210526,76
268,2011,LM,2432500.0,12
269,2011,LW,4685090.909090909,55
271,2011,RB,2341438.775510204,49
272,2011,RM,786409.0909090909,11
273,2011,RW,2952549.0196078434,51
276,2012,CB,3026827.664974619,197
277,2012,CF,3706859.1836734693,245
278,2012,CM,3503488.4615384615,130
279,2012,DM,3992305.309734513,113
