Club,Player,Age,Pos,Club Involved,Fee,Transfer Movement,League Name,Year
Ajax Amsterdam,Winston Bogarde,23,CB,Sparta Rotterdam,€1.00m,In,eredivisie,1994
Ajax Amsterdam,Fred Grim,28,GK,Cambuur-Leeuwarden bvo,€341k,In,eredivisie,1994
Ajax Amsterdam,Michel Kreek,23,LB,Calcio Padova,€909k,Out,eredivisie,1994
Ajax Amsterdam,André Ooijer,19,CB,FC Volendam,loan transfer,Out,eredivisie,1994
Ajax Amsterdam,Dries Boussatta,21,RW,HFC Haarlem,?,Out,eredivisie,1994
Ajax Amsterdam,Dan Petersen,22,CF,AS Monaco,?,Out,eredivisie,1994
Ajax Amsterdam,Stanley Menzo,30,GK,PSV Eindhoven,?,Out,eredivisie,1994
Ajax Amsterdam,Stefan Pettersson,31,CF,IFK Göteborg,?,Out,eredivisie,1994
Ajax Amsterdam,Dennis van de Poll,23,GK,HFC Haarlem,?,Out,eredivisie,1994
Ajax Amsterdam,Donny Huysen,20,Attack,HFC Haarlem,loan transfer,Out,eredivisie,1994
Dordrecht'90,Ronald Hoop,27,Attack,SC Telstar,?,In,eredivisie,1994
Dordrecht'90,Adri van Tiggelen,37,LB,PSV Eindhoven,?,In,eredivisie,1994
Dordrecht'90,Michel Valke,34,LM,Sparta Rotterdam,?,In,eredivisie,1994
Dordrecht'90,Peter Heijstek,20,Midfield,DFC Dordrecht,?,In,eredivisie,1994
Dordrecht'90,Peter van der Kwaak,25,GK,Unknown,?,In,eredivisie,1994
Dordrecht'90,Benny Gall,23,GK,Brönshöj Boldklub,?,In,eredivisie,1994
Dordrecht'90,Lars Brögger,24,AM,Fortuna Düsseldorf,loan transfer,In,eredivisie,1994
Dordrecht'90,Bobby Petta,19,LM,RKC Waalwijk,free transfer,Out,eredivisie,1994
Dordrecht'90,Joop Hiele,35,GK,Go Ahead Eagles,?,Out,eredivisie,1994
Dordrecht'90,Virgil Breetveld,26,CF,De Graafschap Doetinchem,?,Out,eredivisie,1994
Dordrecht'90,Ries Fok,25,Midfield,Kozakken Boys,?,Out,eredivisie,1994
Dordrecht'90,Olaf Schaap,23,Midfield,NAC Breda,?,Out,eredivisie,1994
Dordrecht'90,Robin Schmidt,29,Attack,SuS Stadtlohn,?,Out,eredivisie,1994
Dordrecht'90,John van Gastel,20,Midfield,Unknown,?,Out,eredivisie,1994
Dordrecht'90,Ricardo de Jongh,25,GK,   Retired,-,Out,eredivisie,1994
Dordrecht'90,Patrick Pothuizen,22,CB,Vitesse Arnhem,"End of loan Jun 30, 1994",Out,eredivisie,1994
Feyenoord Rotterdam,Bernard Schuiteman,21,CB,Bayer 04 Leverkusen,€750k,In,eredivisie,1994
Feyenoord Rotterdam,Denis Klyuev,21,CM,Dinamo Moscow,?,In,eredivisie,1994
Feyenoord Rotterdam,Gláucio,19,AM,Portuguesa,?,In,eredivisie,1994
Feyenoord Rotterdam,Lloyd Kammeron,22,CF,Go Ahead Eagles,free transfer,Out,eredivisie,1994
Feyenoord Rotterdam,Bjarki Gunnlaugsson,21,AM,1.FC Nuremberg,?,Out,eredivisie,1994
Feyenoord Rotterdam,Arnar Gunnlaugsson,21,RW,1.FC Nuremberg,?,Out,eredivisie,1994
Feyenoord Rotterdam,Dean Gorré,24,RW,FC Groningen,?,Out,eredivisie,1994
Feyenoord Rotterdam,Wessel Weezenberg,25,Midfield,Unknown,?,Out,eredivisie,1994
Feyenoord Rotterdam,John van Loen,29,CF,Sanfrecce Hiroshima,loan transfer,Out,eredivisie,1994
Feyenoord Rotterdam,Michael Obiku,25,CF,Helsingborgs IF,loan transfer,Out,eredivisie,1994
Feyenoord Rotterdam,John Metgod,36,SW,   Retired,-,Out,eredivisie,1994
Go Ahead Eagles,Harry Decheiver,24,CF,RKC Waalwijk,€750k,In,eredivisie,1994
Go Ahead Eagles,Lloyd Kammeron,22,CF,Feyenoord Rotterdam,free transfer,In,eredivisie,1994
Go Ahead Eagles,Joop Hiele,35,GK,Dordrecht'90,?,In,eredivisie,1994
Go Ahead Eagles,Marcel Valk,27,RM,RKC Waalwijk,?,In,eredivisie,1994
Go Ahead Eagles,Jack de Gier,25,CF,Cambuur-Leeuwarden bvo,?,In,eredivisie,1994
Go Ahead Eagles,Bert Verhagen,27,CB,Willem II Tilburg,?,In,eredivisie,1994
Go Ahead Eagles,Jason van Blerk,26,LM,Millwall FC,€334k,Out,eredivisie,1994
Go Ahead Eagles,Paul Bosvelt,24,DM,Twente Enschede FC,€200k,Out,eredivisie,1994
Go Ahead Eagles,Erwin Looms,20,CF,PH Almelo,free transfer,Out,eredivisie,1994
Go Ahead Eagles,Gijs Steinmann,33,Defence,Unknown,?,Out,eredivisie,1994
Go Ahead Eagles,Niels Creutzburg,19,DM,FC Utrecht,?,Out,eredivisie,1994
Go Ahead Eagles,Edwin Overmars,23,Attack,SC Heracles '74,?,Out,eredivisie,1994
Go Ahead Eagles,Bas Martron,22,Midfield,KVV Quick '20,?,Out,eredivisie,1994
Go Ahead Eagles,Berry Huizing,19,Attack,SC Heracles '74,?,Out,eredivisie,1994
Go Ahead Eagles,Peter Rufai,30,GK,SC Farense,?,Out,eredivisie,1994
Go Ahead Eagles,Alfred Knippenberg,24,AM,VVV,loan transfer,Out,eredivisie,1994
Go Ahead Eagles,Lloyd Kammeron,22,CF,Feyenoord Rotterdam,"End of loan Jun 30, 1994",Out,eredivisie,1994
Go Ahead Eagles,Donny Huysen,20,Attack,Ajax Amsterdam,"End of loan Jun 30, 1994",Out,eredivisie,1994
FC Groningen,Mariano Bombarda,21,CF,ACV Assen,free transfer,In,eredivisie,1994
FC Groningen,Dick Schreuder,22,DM,Sparta Rotterdam,free transfer,In,eredivisie,1994
FC Groningen,Erwin Koeman,32,LM,PSV Eindhoven,?,In,eredivisie,1994
FC Groningen,Jussi Nuorela,20,CB,FC Haka,?,In,eredivisie,1994
FC Groningen,Maarten de Jong,32,Midfield,SC Heerenveen,?,In,eredivisie,1994
FC Groningen,Gian Paolo Assorgia,22,Midfield,SC Veendam,?,In,eredivisie,1994
FC Groningen,Arafath Heuvel,18,LW,Unknown,?,In,eredivisie,1994
FC Groningen,Romano Sion,23,CF,RBC,?,In,eredivisie,1994
FC Groningen,Marcel Boudesteyn,22,Midfield,Excelsior Rotterdam,?,In,eredivisie,1994
FC Groningen,Dean Gorré,24,RW,Feyenoord Rotterdam,?,In,eredivisie,1994
FC Groningen,Dick Kooijman,21,DM,SC Heracles '74,?,In,eredivisie,1994
FC Groningen,Arjan Blaauw,20,Midfield,SBV Emmen,?,In,eredivisie,1994
FC Groningen,Raymond Beerens,22,RB,MVV Maastricht,?,In,eredivisie,1994
FC Groningen,Rick Slor,22,RB,SC Veendam,free transfer,Out,eredivisie,1994
FC Groningen,Steven Gonesh,20,Attack,VV Oosterparkers,?,Out,eredivisie,1994
FC Groningen,Jos Roossien,33,LM,VV Roden,?,Out,eredivisie,1994
FC Groningen,Grafton Holband,29,Midfield,Unknown,?,Out,eredivisie,1994
FC Groningen,Ulrich Wilson,30,LB,FC Volendam,?,Out,eredivisie,1994
FC Groningen,Milko Gjurovski,31,Attack,Nîmes Olympique,?,Out,eredivisie,1994
FC Groningen,Berthil ter Avest,23,LM,Twente Enschede FC,?,Out,eredivisie,1994
FC Groningen,Martin van Duren,29,RW,FC Basel 1893,?,Out,eredivisie,1994
FC Groningen,Dick Kooijman,22,DM,AZ Alkmaar,?,Out,eredivisie,1994
FC Groningen,Edwin Olde Riekerink,32,Midfield,   Retired,-,Out,eredivisie,1994
FC Groningen,Michael Reiziger,21,RB,Ajax Amsterdam,"End of loan Jun 30, 1994",Out,eredivisie,1994
FC Groningen,Ernest Faber,22,CB,PSV Eindhoven,"End of loan Jun 30, 1994",Out,eredivisie,1994
SC Heerenveen,Tom Sier,24,LB,FC Volendam,€227k,In,eredivisie,1994
SC Heerenveen,Melchior Schoenmakers,18,CB,SV Omhoog,free transfer,In,eredivisie,1994
SC Heerenveen,Jon Dahl Tomasson,17,CF,Köge Boldklub,free transfer,In,eredivisie,1994
SC Heerenveen,Hennie Meijer,32,CF,Cambuur-Leeuwarden bvo,?,In,eredivisie,1994
SC Heerenveen,Alex Pastoor,28,Midfield,FC Volendam,?,In,eredivisie,1994
SC Heerenveen,Pieter Bijl,29,CM,FC Utrecht,?,In,eredivisie,1994
SC Heerenveen,Prince Polley,25,CF,Twente Enschede FC,?,In,eredivisie,1994
SC Heerenveen,Wilco Hellinga,23,Midfield,Germinal Ekeren,free transfer,Out,eredivisie,1994
SC Heerenveen,Edwin Huizinga,23,Midfield,SBV Emmen,?,Out,eredivisie,1994
SC Heerenveen,Maarten de Jong,32,Midfield,FC Groningen,?,Out,eredivisie,1994
SC Heerenveen,Erik ten Voorde,26,Midfield,SC Heracles '74,?,Out,eredivisie,1994
SC Heerenveen,Gerrie Schaap,29,Midfield,TOP Oss,?,Out,eredivisie,1994
SC Heerenveen,Bert Zuurman,21,CF,SC Veendam,loan transfer,Out,eredivisie,1994
SC Heerenveen,Gertjan Verbeek,31,Defence,   Retired,-,Out,eredivisie,1994
SC Heerenveen,Antoon Kuil,24,Midfield,   Retired,-,Out,eredivisie,1994
MVV Maastricht,Rein van Duijnhoven,26,GK,Helmond Sport,free transfer,In,eredivisie,1994
MVV Maastricht,Roberto Straal,27,CB,Vitesse Arnhem,?,In,eredivisie,1994
MVV Maastricht,Sjoerd Sanders,20,Defence,PSV Eindhoven U21,?,In,eredivisie,1994
MVV Maastricht,Raymond Beerens,22,RB,FC Groningen,?,Out,eredivisie,1994
MVV Maastricht,Mark Verhoeven,24,RB,NEC Nijmegen,?,Out,eredivisie,1994
MVV Maastricht,Hans Linders,31,Defence,   Retired,-,Out,eredivisie,1994
MVV Maastricht,Dirk-Jan Derksen,22,CF,Roda JC Kerkrade,"End of loan Jun 30, 1994",Out,eredivisie,1994
NAC Breda,Jan Gaasbeek,31,Midfield,Twente Enschede FC,free transfer,In,eredivisie,1994
NAC Breda,Kees van Wonderen,25,CB,NEC Nijmegen,?,In,eredivisie,1994
NAC Breda,Paul Janssen,22,Defence,Fortuna Sittard,?,In,eredivisie,1994
NAC Breda,Olaf Schaap,23,Midfield,Dordrecht'90,?,In,eredivisie,1994
NAC Breda,François Gesthuizen,21,RM,PSV Eindhoven,?,In,eredivisie,1994
NAC Breda,Yassine Abdellaoui,19,LM,Willem II Tilburg,,In,eredivisie,1994
NAC Breda,Pierre van Hooijdonk,25,CF,Celtic FC,€1.70m,Out,eredivisie,1994
NAC Breda,Ton van Bremen,26,Defence,Excelsior Rotterdam,?,Out,eredivisie,1994
NAC Breda,François Gesthuizen,21,RM,PSV Eindhoven,"End of loan Jun 30, 1994",Out,eredivisie,1994
NEC Nijmegen,Juan Viedma,19,LB,Ajax Amsterdam U19,free transfer,In,eredivisie,1994
NEC Nijmegen,Patrick Pothuizen,22,CB,Vitesse Arnhem,free transfer,In,eredivisie,1994
NEC Nijmegen,Mark Verhoeven,24,RB,MVV Maastricht,?,In,eredivisie,1994
NEC Nijmegen,Emiel van Eijkeren,26,Attack,FC Den Haag,?,In,eredivisie,1994
NEC Nijmegen,Ejo Elburg,31,GK,V en AV PAX Hengelo,?,In,eredivisie,1994
NEC Nijmegen,Bas Hendriks,17,Midfield,Unknown,?,In,eredivisie,1994
NEC Nijmegen,Lodewijk van der Heijden,17,Midfield,Unknown,?,In,eredivisie,1994
