Club,Player,Age,Pos,Club Involved,Fee,Transfer Movement,League Name,Year
FC Porto,Sergey Yuran,25,CF,SL Benfica,?,In,liga-nos,1994
FC Porto,Ronald Baroni,26,CF,Universitario de Deportes,?,In,liga-nos,1994
FC Porto,Mandla Zwane,21,Attack,Orlando Pirates,?,In,liga-nos,1994
FC Porto,Rui Barros,28,AM,Olympique Marseille,?,In,liga-nos,1994
FC Porto,Vasiliy Kulkov,28,CB,SL Benfica,?,In,liga-nos,1994
FC Porto,Émerson,22,DM,CF Os Belenenses,?,In,liga-nos,1994
FC Porto,Russell Latapy,25,AM,Académica Coimbra,?,In,liga-nos,1994
FC Porto,Fernando Couto,24,CB,AC Parma,€2.70m,Out,liga-nos,1994
FC Porto,Emil Kostadinov,26,RW,Deportivo de La Coruña,Loan fee: €480k,Out,liga-nos,1994
FC Porto,Emil Kostadinov,27,RW,Bayern Munich,Loan fee: €250k,Out,liga-nos,1994
FC Porto,Luís Miguel,21,LW,CF União Lamas,free transfer,Out,liga-nos,1994
FC Porto,Abílio,27,AM,CF Os Belenenses,free transfer,Out,liga-nos,1994
FC Porto,Ion Timofte,26,AM,Boavista FC,free transfer,Out,liga-nos,1994
FC Porto,Vinha,27,DM,SC Salgueiros,?,Out,liga-nos,1994
FC Porto,Paulo Pereira,28,RB,SL Benfica,?,Out,liga-nos,1994
FC Porto,Bock,19,CF,FC Maia,?,Out,liga-nos,1994
FC Porto,Zé da Rocha,26,CM,Gil Vicente FC,loan transfer,Out,liga-nos,1994
FC Porto,Bino,21,CM,CF Os Belenenses,loan transfer,Out,liga-nos,1994
FC Porto,Mandla Zwane,21,Attack,FC Penafiel,loan transfer,Out,liga-nos,1994
FC Porto,Sérgio Conceição,19,RW,Leça FC,loan transfer,Out,liga-nos,1994
FC Porto,Rui Óscar,18,RB,CF União Lamas,loan transfer,Out,liga-nos,1994
Sporting CP,Emmanuel Amunike,23,LW,MSV Duisburg,€1.75m,In,liga-nos,1994
Sporting CP,Luis Vasco,27,GK,FC Famalicão,?,In,liga-nos,1994
Sporting CP,Carlos Xavier,32,DM,Real Sociedad,?,In,liga-nos,1994
Sporting CP,Chiquinho Conde,28,CF,Vitória Setúbal FC,?,In,liga-nos,1994
Sporting CP,Marco Aurelio,27,CB,CF União Madeira (-2021),?,In,liga-nos,1994
Sporting CP,Oceano,31,DM,Real Sociedad,?,In,liga-nos,1994
Sporting CP,Ricardo Sá Pinto,21,CF,SC Salgueiros,?,In,liga-nos,1994
Sporting CP,Noureddine Naybet,24,CB,FC Nantes,?,In,liga-nos,1994
Sporting CP,Pedrosa,22,CM,SC Salgueiros,?,In,liga-nos,1994
Sporting CP,Paulo Sousa,23,CM,Juventus FC,€4.00m,Out,liga-nos,1994
Sporting CP,Stan Valckx,31,CB,PSV Eindhoven,?,Out,liga-nos,1994
