Club,Player,Age,Pos,Club Involved,Fee,Transfer Movement,League Name,Year
Le Havre AC,Claude Fichaux,25,CB,LOSC Lille,free transfer,In,ligue-1,1994
Le Havre AC,Frédéric Brando,20,CM,AS Monaco B,free transfer,In,ligue-1,1994
Le Havre AC,Sébastien Hamel,18,GK,AS Monaco,free transfer,In,ligue-1,1994
Le Havre AC,David Robert,25,Midfield,FC Sochaux-Montbéliard,?,In,ligue-1,1994
Le Havre AC,Christophe Lagrange,27,Attack,Angers SCO,?,In,ligue-1,1994
Le Havre AC,Cédric Daury,24,Midfield,Angers SCO,?,In,ligue-1,1994
Le Havre AC,Alain Caveglia,26,SS,FC Sochaux-Montbéliard,?,In,ligue-1,1994
Le Havre AC,Patrice Marquet,27,LM,AS Cannes,?,Out,ligue-1,1994
Le Havre AC,Eric Lestrade,25,Midfield,CS Sedan-Ardennes,?,Out,ligue-1,1994
Le Havre AC,Michel Rio,31,AM,Stade Briochin,?,Out,ligue-1,1994
Le Havre AC,Pierre Haon,27,DM,AS Lyon-Duchère,?,Out,ligue-1,1994
Le Havre AC,Gia Guruli,30,CF,USL Dunkerque,?,Out,ligue-1,1994
Le Havre AC,Pierre Aubameyang,29,SW,FC Toulouse,?,Out,ligue-1,1994
Le Havre AC,Fabien Piveteau,30,GK,AS Monaco,?,Out,ligue-1,1994
Le Havre AC,Joël Tiéhi,30,CF,RC Lens,?,Out,ligue-1,1994
Le Havre AC,Didier Lelong,24,Midfield,Football Club de Saint-Leu,?,Out,ligue-1,1994
Le Havre AC,Thierry Moreau,27,AM,FC Toulouse,?,Out,ligue-1,1994
Le Havre AC,André Kana-Biyik,28,DM,   Retired,-,Out,ligue-1,1994
FC Martigues,Laurent David,22,Midfield,CS Sedan-Ardennes,free transfer,In,ligue-1,1994
FC Martigues,Henrik Bertilsson,24,CF,Halmstads BK,?,In,ligue-1,1994
FC Martigues,Fabien Artès,16,Defence,Unknown,?,In,ligue-1,1994
FC Martigues,Serge Romano,30,Midfield,FC Toulouse,?,In,ligue-1,1994
FC Martigues,Didier Dubois,27,CB,RC Lens,?,In,ligue-1,1994
FC Martigues,Eduardo Oliveira,21,CB,FB Île-Rousse,?,In,ligue-1,1994
FC Martigues,Abdoul Karim Bangoura,23,Defence,SC Bastia B,?,In,ligue-1,1994
FC Martigues,Jean-Claude Pagal,29,DM,CF América,?,Out,ligue-1,1994
FC Martigues,Joël Bossis,29,LW,LB Châteauroux,?,Out,ligue-1,1994
FC Martigues,Jean-Marc Ferreri,31,AM,Olympique Marseille,?,Out,ligue-1,1994
FC Martigues,Philippe Anziani,32,SS,Gazélec Football Club Olympique Ajaccio,?,Out,ligue-1,1994
FC Martigues,Stéphane Mazzolini,27,RB,Olympique Marseille,?,Out,ligue-1,1994
FC Martigues,Henri-Claude Ferblantier,23,CB,FC Rouen,?,Out,ligue-1,1994
SM Caen,Kennet Andersson,26,CF,LOSC Lille,?,In,ligue-1,1994
SM Caen,Milos Glonek,25,CB,Ancona Calcio,?,In,ligue-1,1994
SM Caen,Jerry de Jong,29,RB,PSV Eindhoven,?,In,ligue-1,1994
SM Caen,Olivier Bochu,22,Defence,Olympique Grenoble Isère,?,In,ligue-1,1994
SM Caen,Amara Simba,32,CF,AS Monaco,?,In,ligue-1,1994
SM Caen,Jean-François Péron,28,LM,RC Lens,?,In,ligue-1,1994
SM Caen,Jean-Jacques Etamé,27,Midfield,LOSC Lille,?,In,ligue-1,1994
SM Caen,Franck Suignard,20,Midfield,Quimper Cornouaille FC,?,In,ligue-1,1994
SM Caen,Benoît Cauet,25,CM,FC Nantes,?,Out,ligue-1,1994
SM Caen,Faouzi Rouissi,23,CF,Al-Hilal SFC,?,Out,ligue-1,1994
SM Caen,Philippe Montanier,29,GK,FC Toulouse,?,Out,ligue-1,1994
SM Caen,Ronan Salaün,25,CF,FC Toulouse,?,Out,ligue-1,1994
SM Caen,Celio Silva,26,CB,Sport Club Corinthians Paulista,?,Out,ligue-1,1994
SM Caen,Wally Dieng,20,Defence,CS Sedan-Ardennes,?,Out,ligue-1,1994
SM Caen,Aleksandr Mostovoy,25,AM,SL Benfica,"End of loan Jun 30, 1994",Out,ligue-1,1994
